,level_0,user_id,lang,date,is_weekend,year,text,lat,lng,governorate,area,links,index,place_id,types
0,0,2900698000.0,en,2018-06-07 23:51:00,False,2018,"I'm at Salhiya Complex in Kuwait City, Al Asimah ",29.363575,47.96642,Capital,Qibla,['https://t.co/G4fxQR8y3y'],3.0,GhIJqaROQBNdPUARpBmLprP7R0A,"['establishment', 'jewelry_store', 'point_of_interest', 'store', 'premise', 'street_address', 'plus_code', 'route', 'street_address', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
2,2,351574880.0,en,2018-03-15 22:00:00,False,2018,I'm at BRO By Brothers in Shuwaikh ,29.341764,47.942802,Capital,Shuwaikh Industrial - 1,"['https://t.co/UCGV9QD5Jo', 'https://t.co/170Uv2pIkr']",2.0,GhIJPPNy2H1XPUARPE1mvK34R0A,"['clothing_store', 'establishment', 'point_of_interest', 'store', 'premise', 'plus_code', 'route', 'political', 'sublocality', 'sublocality_level_1', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
3,3,351574880.0,en,2018-04-05 06:56:00,False,2018,I'm at North Ahmadi New Road ,29.12428,48.069756,Ahmadi,Magwa,['https://t.co/yLSF518I8l'],,,
4,4,3957871000.0,en,2020-10-26 13:37:00,False,2020,I'm at Boubyan Bank ,29.234064,48.07787,Mubarak Al-Kabeer,Al-Adan,['https://t.co/2e26jnZsvp'],2.0,GhIJxCtJnus7PUARdavnpPcJSEA,"['premise', 'establishment', 'point_of_interest', 'plus_code', 'street_address', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
5,5,3957871000.0,tr,2019-10-19 22:43:00,True,2019,"I'm at Mubarak Al Kabir in Mubarak al Kabir, Muhafazat Mubarak al Kabir ",29.187698,48.08288,Mubarak Al-Kabeer,Mubarak Al-Kabeer,['https://t.co/6Q8Y7NS8Hp'],5.0,GhIJTIbj-QwwPUARCb_Uz5sKSEA,"['street_address', 'establishment', 'food', 'point_of_interest', 'restaurant', 'premise', 'street_address', 'route', 'plus_code', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
7,7,3957871000.0,tr,2018-05-08 19:03:00,False,2018,I'm at İskenderpasa in Kuveyt ,29.142029,48.12957,Ahmadi,Mahboula,['https://t.co/QK3DovVE10'],,,
8,8,3957871000.0,ar,2019-07-12 19:48:00,True,2019,I'm at خط الملك فهد in مبارك الكبير ,29.193949,48.06322,Mubarak Al-Kabeer,South Wosta,['https://t.co/mHwIzC1dgi'],2.0,GhIJhxdEpKYxPUARADrMlxcISEA,"['establishment', 'point_of_interest', 'route', 'plus_code', 'street_address', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
9,9,3957871000.0,un,2019-01-13 14:40:00,False,2019,I'm at مركز خدمة تويوتا in Al Ahmadi ,29.084005,48.089493,Ahmadi,East Ahmadi,['https://t.co/FQbryITdlW'],2.0,GhIJU7MHWoEVPUARRxyygXQLSEA,"['establishment', 'point_of_interest', 'premise', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
10,10,3957871000.0,un,2018-01-20 17:45:00,True,2018,"I'm at برج الساعه (الدائري الخامس) in Kuwait City, Hawally Governorate ",29.306671,48.02182,Hawalli,Al-Salam,['https://t.co/LZMO4IQ2xh'],1.0,GhIJsqGb_YFOPUARCTNt_8oCSEA,"['establishment', 'local_government_office', 'point_of_interest', 'plus_code', 'route', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
11,11,3957871000.0,tl,2020-12-24 23:49:00,False,2020,"I'm at Mubarak Al-Kabeer in Kuwait, Mubarak Al-Kabeer ",29.193174,48.08115,Mubarak Al-Kabeer,Mubarak Al-Kabeer,['https://t.co/pwY2tDQg7W'],4.0,GhIJ_2_s2XMxPUARAwmKH2MKSEA,"['establishment', 'point_of_interest', 'street_address', 'route', 'street_address', 'plus_code', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
